localidad,hora_dia,primary_category,promedio_clips_hora
VARILLAL,21,Amphibian,2.95
VARILLAL,21,Anthropogenic,46.05
VARILLAL,21,Bird,3.79
VARILLAL,21,Insect,116.81
VARILLAL,21,Mammal,0.58
VARILLAL,22,Amphibian,2.39
VARILLAL,22,Anthropogenic,33.32
VARILLAL,22,Bird,5.09
VARILLAL,22,Insect,136.23
VARILLAL,22,Mammal,0.65
VARILLAL,23,Amphibian,6.07
VARILLAL,23,Anthropogenic,32.56
VARILLAL,23,Bird,3.4
VARILLAL,23,Insect,150.49
VARILLAL,23,Mammal,0.39
