localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
QUISTOCOCHA,Creciente,5,Mammal,2.16
QUISTOCOCHA,Creciente,6,Amphibian,0.42
QUISTOCOCHA,Creciente,6,Anthropogenic,39.63
QUISTOCOCHA,Creciente,6,Bird,76.68
QUISTOCOCHA,Creciente,6,Insect,76.63
QUISTOCOCHA,Creciente,6,Mammal,0.42
QUISTOCOCHA,Creciente,7,Amphibian,0.74
QUISTOCOCHA,Creciente,7,Anthropogenic,46.58
QUISTOCOCHA,Creciente,7,Bird,86.63
QUISTOCOCHA,Creciente,7,Insect,56.11
QUISTOCOCHA,Creciente,7,Mammal,1.68
QUISTOCOCHA,Creciente,8,Amphibian,0.05
QUISTOCOCHA,Creciente,8,Anthropogenic,36.11
QUISTOCOCHA,Creciente,8,Bird,66.37
QUISTOCOCHA,Creciente,8,Insect,39.42
QUISTOCOCHA,Creciente,8,Mammal,0.53
QUISTOCOCHA,Creciente,9,Amphibian,0.37
QUISTOCOCHA,Creciente,9,Anthropogenic,42.84
QUISTOCOCHA,Creciente,9,Bird,62.32
QUISTOCOCHA,Creciente,9,Insect,36.53
QUISTOCOCHA,Creciente,9,Mammal,0.79
QUISTOCOCHA,Creciente,10,Amphibian,0.53
QUISTOCOCHA,Creciente,10,Anthropogenic,34.68
QUISTOCOCHA,Creciente,10,Bird,52.89
QUISTOCOCHA,Creciente,10,Insect,28.89
QUISTOCOCHA,Creciente,10,Mammal,1.05
QUISTOCOCHA,Creciente,11,Amphibian,0.11
QUISTOCOCHA,Creciente,11,Anthropogenic,38.16
QUISTOCOCHA,Creciente,11,Bird,52.89
QUISTOCOCHA,Creciente,11,Insect,28.37
QUISTOCOCHA,Creciente,11,Mammal,0.63
QUISTOCOCHA,Creciente,12,Amphibian,0.21
QUISTOCOCHA,Creciente,12,Anthropogenic,45.79
QUISTOCOCHA,Creciente,12,Bird,44.58
